gene_symbol,association_score,disease
C3orf70,0.4057499212405092,Type 2 Diabetes
MEOX2,0.4051225469743116,Type 2 Diabetes
ID4,0.4049628712979221,Type 2 Diabetes
FGD5,0.4048224680426278,Type 2 Diabetes
TLR4,0.4047436196029014,Type 2 Diabetes
PRKN,0.4047012851029692,Type 2 Diabetes
FN3KRP,0.404547894470024,Type 2 Diabetes
ETS2,0.4044683276757178,Type 2 Diabetes
MAEA,0.4043992245903159,Type 2 Diabetes
CDKL2,0.4039829135629044,Type 2 Diabetes
LRP12,0.4035964426249334,Type 2 Diabetes
SCD5,0.403267222195913,Type 2 Diabetes
KIF3C,0.4025267740249519,Type 2 Diabetes
SPRY4,0.4023736701010454,Type 2 Diabetes
PCSK1,0.4021617109761445,Type 2 Diabetes
IL23R,0.4021106212249114,Type 2 Diabetes
SNX29,0.4019084366234891,Type 2 Diabetes
HAUS6,0.4017318717406707,Type 2 Diabetes
MON1B,0.4015899000967478,Type 2 Diabetes
DDX20,0.4012265531494525,Type 2 Diabetes
HSD17B12,0.4011833893195556,Type 2 Diabetes
CYRIA,0.401098351964495,Type 2 Diabetes
ATG16L1,0.4009369816451607,Type 2 Diabetes
JAG1,0.4007840172830917,Type 2 Diabetes
PRKD1,0.4004761562201954,Type 2 Diabetes
RIT2,0.4004207613225661,Type 2 Diabetes
KCNJ12,0.4001086658668591,Type 2 Diabetes
ROBO2,0.399992690600728,Type 2 Diabetes
IL2RA,0.399521114566649,Type 2 Diabetes
ZNF257,0.3993149287651989,Type 2 Diabetes
PTCH1,0.3990864125147249,Type 2 Diabetes
SLC16A13,0.3988374047132273,Type 2 Diabetes
TIGAR,0.3987054447024946,Type 2 Diabetes
PPIP5K2,0.3986225708920531,Type 2 Diabetes
PHF13,0.3983385583941338,Type 2 Diabetes
CCN5,0.3979204797793298,Type 2 Diabetes
NSD1,0.3979167886846087,Type 2 Diabetes
PTGS2,0.3978417496122045,Type 2 Diabetes
PPARD,0.3976905276397999,Type 2 Diabetes
COPB1,0.3975623179151888,Type 2 Diabetes
MAP3K1,0.397411472820308,Type 2 Diabetes
SREBF1,0.3968813432418157,Type 2 Diabetes
COL13A1,0.3963661085646427,Type 2 Diabetes
GCGR,0.3963641632451852,Type 2 Diabetes
ENPP3,0.3962130693918248,Type 2 Diabetes
PLPPR1,0.3961704616868737,Type 2 Diabetes
TECPR1,0.3960907619372699,Type 2 Diabetes
COBLL1,0.3955679635678213,Type 2 Diabetes
TPCN2,0.3948165461272429,Type 2 Diabetes
ITIH4,0.3941743307406911,Type 2 Diabetes
NOS2,0.3940279178819834,Type 2 Diabetes
GGNBP2,0.3937242599061363,Type 2 Diabetes
CRY2,0.3933168102652702,Type 2 Diabetes
PCNT,0.3929088340954342,Type 2 Diabetes
RAB29,0.392213994216991,Type 2 Diabetes
CSF1,0.3921934085658997,Type 2 Diabetes
PDE3B,0.3919292199506219,Type 2 Diabetes
ABCA1,0.3916238458632042,Type 2 Diabetes
SLCO4A1,0.3914569461861749,Type 2 Diabetes
ZNF536,0.3912208039138466,Type 2 Diabetes
BRD3,0.3904317637415777,Type 2 Diabetes
FBXO11,0.3902700132166312,Type 2 Diabetes
IFIH1,0.390261652641401,Type 2 Diabetes
FST,0.3901092104474015,Type 2 Diabetes
GALNT10,0.3899428661969093,Type 2 Diabetes
TOM1,0.3899082913431183,Type 2 Diabetes
ZNRF3,0.3898433431746916,Type 2 Diabetes
TENM4,0.3896901748487271,Type 2 Diabetes
REL,0.3895915498670945,Type 2 Diabetes
SH2B3,0.3884478853652723,Type 2 Diabetes
FOXK1,0.3881114280180317,Type 2 Diabetes
RMC1,0.3879020331686376,Type 2 Diabetes
EXOC6,0.3878602080510184,Type 2 Diabetes
STK24,0.3875482388597759,Type 2 Diabetes
TAFA5,0.3874236401894123,Type 2 Diabetes
ZFPM2,0.3872299013523313,Type 2 Diabetes
CRYBA1,0.3870531338477792,Type 2 Diabetes
ADARB1,0.3868389824807929,Type 2 Diabetes
ADCY9,0.3867488688068036,Type 2 Diabetes
BCL11B,0.3867261664939383,Type 2 Diabetes
SLIT2,0.3861482555470656,Type 2 Diabetes
FFAR1,0.3855614303136258,Type 2 Diabetes
IL10,0.3851652541757902,Type 2 Diabetes
BHMT,0.3839923486861513,Type 2 Diabetes
EXD2,0.3838590043859705,Type 2 Diabetes
TIMP4,0.3834289239143624,Type 2 Diabetes
ATP1A2,0.3833595369055501,Type 2 Diabetes
NFIB,0.3822525000651373,Type 2 Diabetes
USP44,0.3820933519865513,Type 2 Diabetes
